Language,Complexity_Score,Nesting_Depth,Memory_MB,Joules
C,52,5,99.88304703442026,86.8678689096362
C,83,3,235.03195706327492,121.03647541817311
C,100,3,20.086402204943198,77.81727484672832
C,21,1,159.0786990501735,45.931205936859406
C,22,5,221.65305913463672,94.61243909288204
C,42,4,487.140204232315,125.76748974341679
C,15,3,197.40637572090975,66.16967999995317
C,51,5,230.74463346507608,109.74920487750772
C,18,4,471.67886028557785,107.09646090399833
C,90,5,123.137974554853,117.71895402236234
C,92,4,69.79873507394163,89.6836008173579
C,78,1,136.8021909840083,74.99536366052776
C,4,2,218.3263785007099,57.7761840236034
C,93,2,389.8150834469461,123.02049361809748
C,34,2,448.4654017095479,120.33864153415644
C,72,4,32.16137156616365,76.29339727883865
C,40,5,200.45187194784617,100.75792936742697
C,26,1,147.65790974681659,46.55601258007804
C,41,5,403.07652056947944,126.32040488050895
C,88,3,107.43277800351453,94.10164690730794
C,8,3,397.18601486029075,103.20402054293884
C,41,4,432.9206786790408,132.06128198601363
C,72,4,172.1400321777981,99.33380025243358
C,88,5,367.5070273856514,147.68331384600023
C,86,3,285.0092786653736,123.87237533522308
C,3,1,363.64746537078787,74.18290343047916
C,14,3,266.1390863971771,75.925538957789
C,77,3,25.400300986499783,69.12628247910015
C,52,5,259.19963867070436,111.02208332388732
C,15,3,109.500000120037,51.721393047240575
C,13,3,350.44461718945524,94.6323086013809
C,62,1,61.6921873168326,56.01255152317797
C,28,4,117.03581423624846,70.94528077276988
C,92,1,165.8217027362133,86.65696573461939
C,97,1,121.68822964555143,90.1323293960462
C,3,3,214.5313915429017,61.482928527206816
C,37,1,68.73402999350458,41.49738971947699
C,32,1,207.87972381844,61.79162050470664
C,62,1,134.4185528278289,69.56219808782924
C,3,1,82.56259567716594,22.238699940806136
C,56,1,140.72269699488965,63.34333879788932
C,87,5,179.08491153307466,120.42416480908203
C,1,3,343.5456712618357,70.04015558048378
C,70,4,49.61812990303047,85.45492313244333
C,56,3,128.65836975593868,75.72371199872592
C,98,3,410.05161787749813,164.9436975480237
C,16,1,83.85159654306044,35.642958580665706
C,3,4,169.71986354892354,62.55211992149454
C,36,3,358.46327089462875,102.8141780436627
C,71,4,470.85639959990596,165.60970028662604
C,40,2,420.4779518945907,121.90876720943328
C,50,2,136.39139758042626,71.14939236402236
C,16,2,491.26248823142345,98.78948599039386
C,1,4,283.5637922674778,82.27101681680524
